x_1,x_2,x_3,x_4,x_5,x_6,target
1,1,1,1,3,1,1
1,1,1,1,3,2,1
1,1,1,3,2,1,1
1,1,1,3,3,2,1
1,1,2,1,2,1,1
1,1,2,1,2,2,1
1,1,2,2,3,1,1
1,1,2,2,4,1,1
1,1,2,3,1,2,1
1,2,1,1,1,2,1
1,2,1,1,2,1,0
1,2,1,1,3,1,0
1,2,1,1,4,2,0
1,2,1,2,1,1,1
1,2,1,2,3,1,0
1,2,1,2,3,2,0
1,2,1,2,4,2,0
1,2,1,3,2,1,0
1,2,1,3,4,2,0
1,2,2,1,2,2,0
1,2,2,2,3,2,0
1,2,2,2,4,1,0
1,2,2,2,4,2,0
1,2,2,3,2,2,0
1,2,2,3,3,1,0
1,2,2,3,3,2,0
1,3,1,1,2,1,0
1,3,1,1,4,1,0
1,3,1,2,2,1,0
1,3,1,2,4,1,0
1,3,1,3,1,2,1
1,3,1,3,2,2,0
1,3,1,3,3,1,0
1,3,1,3,4,1,0
1,3,1,3,4,2,0
1,3,2,1,2,2,0
1,3,2,2,1,2,1
1,3,2,2,2,2,0
1,3,2,2,3,2,0
1,3,2,2,4,1,0
1,3,2,2,4,2,0
1,3,2,3,1,1,1
1,3,2,3,2,1,0
1,3,2,3,4,1,0
1,3,2,3,4,2,0
2,1,1,1,3,1,0
2,1,1,1,3,2,0
2,1,1,2,1,1,1
2,1,1,2,1,2,1
2,1,1,2,2,2,0
2,1,1,2,3,1,0
2,1,1,2,4,1,0
2,1,1,2,4,2,0
2,1,1,3,4,1,0
2,1,2,1,2,2,0
2,1,2,1,3,1,0
2,1,2,1,4,2,0
2,1,2,2,3,1,0
2,1,2,2,4,2,0
2,1,2,3,2,2,0
2,1,2,3,4,1,0
2,2,1,1,2,1,1
2,2,1,1,2,2,1
2,2,1,1,3,1,1
2,2,1,2,3,2,1
2,2,1,3,1,1,1
2,2,1,3,1,2,1
2,2,1,3,2,2,1
2,2,1,3,3,2,1
2,2,1,3,4,2,1
2,2,2,1,1,1,1
2,2,2,1,3,2,1
2,2,2,1,4,1,1
2,2,2,1,4,2,1
2,2,2,2,2,1,1
2,2,2,3,4,1,1
2,3,1,1,1,1,1
2,3,1,2,1,1,1
2,3,1,2,3,1,0
2,3,1,3,1,2,1
2,3,1,3,3,1,0
2,3,1,3,4,2,0
2,3,2,1,3,2,0
2,3,2,2,1,1,1
2,3,2,2,1,2,1
2,3,2,2,2,1,0
2,3,2,3,3,2,0
3,1,1,1,1,1,1
3,1,1,1,1,2,1
3,1,1,2,1,1,1
3,1,1,2,2,2,0
3,1,1,3,2,2,0
3,1,2,1,1,1,1
3,1,2,1,2,2,0
3,1,2,2,2,2,0
3,1,2,2,3,2,0
3,1,2,3,2,2,0
3,2,1,1,1,1,1
3,2,1,1,4,2,0
3,2,1,2,1,2,1
3,2,1,2,4,2,0
3,2,2,1,1,1,1
3,2,2,1,1,2,1
3,2,2,1,3,2,0
3,2,2,3,1,1,1
3,2,2,3,2,1,0
3,2,2,3,4,1,0
3,3,1,1,1,1,1
3,3,1,1,2,1,1
3,3,1,1,4,2,1
3,3,1,2,3,2,1
3,3,1,2,4,2,1
3,3,1,3,1,2,1
3,3,1,3,2,1,1
3,3,1,3,2,2,1
3,3,1,3,4,2,1
3,3,2,1,1,1,1
3,3,2,1,3,2,1
3,3,2,1,4,1,1
3,3,2,1,4,2,1
3,3,2,3,1,2,1
3,3,2,3,2,2,1
3,3,2,3,3,2,1
3,3,2,3,4,2,1
