,x_1_1,x_1_2,x_1_3,x_2_1,x_2_2,x_2_3,x_3_1,x_3_2,x_4_1,x_4_2,x_4_3,x_5_1,x_5_2,x_5_3,x_5_4,x_6_1,x_6_2,target
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
8,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1
10,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1
13,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
14,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
15,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
16,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
17,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1
18,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
19,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
21,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
22,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
23,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
24,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
25,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
27,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1
29,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
30,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
31,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1
32,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
33,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
34,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1
48,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
49,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
52,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
53,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
54,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
55,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
57,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1
59,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
60,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1
62,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1
64,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
65,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
69,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
70,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
71,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1
72,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
74,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
88,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
89,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
90,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
92,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
94,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1
95,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1
97,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
98,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
100,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1
101,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
102,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
103,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1
104,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
105,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
106,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
108,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
109,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1
