,x_1_1,x_1_2,x_1_3,x_2_1,x_2_2,x_2_3,x_3_1,x_3_2,x_4_1,x_4_2,x_4_3,x_5_1,x_5_2,x_5_3,x_5_4,x_6_1,x_6_2,target
122,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
123,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
124,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
125,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
126,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
127,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
128,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
129,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
130,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
131,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
132,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
133,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
134,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1
135,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
136,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
137,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
138,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
139,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
140,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
141,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
142,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
143,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
144,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
145,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
146,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
147,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1
148,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1
149,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1
150,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1
151,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
152,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
153,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
154,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
155,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1
156,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
157,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1
158,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1
159,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1
160,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
161,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
162,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
163,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
164,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1
165,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
166,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
167,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
